,user_id,name,gender,dob,interests,city,occupation,budget,age,age_range
9500,59210,Edna Stephens,Female,1995-04-25,"'Cars and automobiles', 'Gardening', 'Beauty', 'Cars and automobiles'",Liverpool,Project Manager,4785,30,26-35
9501,32486,Brian Piedra,Male,1993-05-24,"'Technology', 'Fashion', 'Nature'",Preston,Waiter,3078,32,26-35
9502,84856,Joyce Spurgeon,Male,1965-02-10,"'Business and entrepreneurship', 'Pets'",Bolton,Cleaner,2082,60,56-65
9503,38247,Elvira Bokor,Female,1956-03-01,"'Food and dining', 'Gaming', 'Fashion', 'Fashion'",Preston,Loan Officer,3596,69,66+
9504,66370,Larry Trevino,Male,1978-09-24,"'Gardening', 'Cars and automobiles'",Manchester,Data Analyst,3935,47,46-55
9505,52787,Carman Kelly,Male,2004-06-09,'Technology',Stockport,Market Research Analyst,5925,21,18-25
9506,34303,Miguel Averett,Female,1970-06-10,"'Cars and automobiles', 'Politics', 'Art', 'Social causes and activism', 'DIY and crafts'",Bolton,IT technician,3939,55,56-65
9507,60244,Charles Boyer,Female,1996-06-11,"'Science', 'Fashion', 'Books', 'Finance and investments', 'Business and entrepreneurship'",Liverpool,Data Analyst,3778,29,26-35
9508,72148,Charles Smith,Female,1982-09-15,"'Fashion', 'Cooking', 'Parenting and family', 'Food and dining'",Bolton,Chef,4935,43,36-45
9509,65707,John Saadd,Female,1999-06-09,'Food and dining',Preston,Compliance Officer,7146,26,26-35
9510,11728,Ryan Clark,Male,1999-12-30,"'Art', 'Gardening', 'Movies', 'Music'",Bolton,Human Resources Coordinator,5359,26,26-35
9511,3615,Myrna Kirn,Female,1959-09-07,"'Fashion', 'Education and learning', 'Social causes and activism', 'Cars and automobiles', 'Outdoor activities'",Manchester,Delivery Driver,2536,66,66+
9512,86168,Sheena Bates,Male,1958-08-07,"'Education and learning', 'Business and entrepreneurship', 'Education and learning'",Stockport,Market Research Analyst,4272,67,66+
9513,19528,Angela Johnson,Female,1970-07-28,"'Gardening', 'Outdoor activities', 'Books', 'Pets'",Liverpool,Public Relations Specialist,5912,55,56-65
9514,87604,Jess Hennessey,Male,1979-05-04,"'Education and learning', 'Outdoor activities', 'Gaming'",Bolton,Electrician,4298,46,46-55
9515,46083,Cindy Carey,Female,1986-06-08,"'Music', 'Education and learning', 'Music'",Bolton,Construction Worker,3814,39,36-45
9516,92034,Leonie Marmerchant,Male,1996-05-11,"'Pets', 'Sports'",Liverpool,Compliance Officer,5945,29,26-35
9517,47371,Evelyn Greeley,Male,1974-02-24,"'DIY and crafts', 'Fashion'",Preston,Human Resources Coordinator,4306,51,46-55
9518,43422,Timothy Tape,Female,1995-03-10,"'Movies', 'Music', 'Finance and investments', 'Music', 'Travel'",Preston,Sales Associate,2695,30,26-35
9519,38595,Darlene Davison,Male,1957-04-12,"'Photography', 'Music', 'Parenting and family', 'Photography'",Manchester,Human Resources Coordinator,3432,68,66+
9520,32719,Linda Schlick,Male,1991-06-17,'Fashion',Manchester,Delivery Driver,3905,34,26-35
9521,53894,Richard Bird,Female,1986-10-14,"'Nature', 'Science'",Stockport,Technical Writer,4480,39,36-45
9522,58714,Robert Clark,Female,1992-10-04,'Sports',Preston,Delivery Driver,2858,33,26-35
9523,5642,Katherine Peterson,Male,1959-07-24,"'Fashion', 'Art', 'Food and dining'",Liverpool,Receptionist,3613,66,66+
9524,64779,Wanda Lodge,Male,1992-08-10,"'Pets', 'Parenting and family'",Liverpool,Business Consultant,9942,33,26-35
9525,27924,Charles Gregory,Female,1976-01-16,'Social causes and activism',Preston,Marketing Specialist,4579,49,46-55
9526,2786,George Forman,Male,1964-09-21,"'History', 'Travel', 'History'",Manchester,Delivery Driver,2456,61,56-65
9527,28428,Olga Barber,Female,1972-06-21,"'Sports', 'Fashion', 'Travel'",Stockport,Data Analyst,3781,53,46-55
9528,44645,Danielle Tellier,Male,1968-05-04,"'Movies', 'Movies', 'Business and entrepreneurship', 'DIY and crafts'",Manchester,Event Coordinator,6278,57,56-65
9529,93193,Nadine Litzenberg,Female,1997-08-16,"'Music', 'Food and dining', 'Movies', 'Beauty'",Preston,Quality Assurance Analyst,6308,28,26-35
9530,67781,Mariana Hernandez,Female,1958-01-12,"'Social causes and activism', 'Gardening', 'Sports', 'History'",Bolton,Office Administrator,3437,67,66+
9531,32073,Lisa Wadkins,Female,1981-11-13,"'Nature', 'DIY and crafts'",Manchester,Waiter,2323,44,36-45
9532,43696,Thomas Papay,Female,1984-11-27,'Gaming',Manchester,Business Consultant,6477,41,36-45
9533,41219,Jeff Patterson,Male,1979-06-26,'Nature',Liverpool,Sales Executive,6493,46,46-55
9534,61329,William Jackson,Female,2002-10-02,"'Movies', 'Fashion', 'Photography', 'Movies', 'Fashion'",Liverpool,Teacher,2910,23,18-25
9535,64161,Chris Miller,Female,1993-11-01,"'Science', 'Cooking', 'Finance and investments', 'Beauty', 'Outdoor activities'",Preston,Public Relations Specialist,4412,32,26-35
9536,52469,James Martin,Male,1957-11-30,'Music',Liverpool,HR Manager,6474,68,66+
9537,96477,Norman Mcpherson,Male,1978-12-02,"'Nature', 'Gaming', 'Travel', 'Fashion', 'Gaming'",Preston,Software Engineer,8194,47,46-55
9538,48450,Jenny Vandamme,Female,2000-10-07,"'Fitness', 'Business and entrepreneurship'",Preston,Procurement Specialist,6254,25,26-35
9539,63200,Florence Hrbacek,Male,1963-05-07,"'Gaming', 'Photography', 'Gaming', 'Fashion'",Preston,Electrician,5067,62,56-65
9540,4052,Rachel Hopkins,Female,1978-07-30,"'Gaming', 'Science', 'Cars and automobiles', 'Finance and investments', 'Science'",Stockport,Taxi Driver,2429,47,46-55
9541,13023,Michael Ward,Female,1997-12-17,"'Finance and investments', 'Fashion', 'Business and entrepreneurship'",Bolton,HR Manager,5042,28,26-35
9542,3173,Ashley Merritt,Female,2004-11-12,"'Photography', 'Beauty', 'History', 'Art'",Liverpool,Human Resources Coordinator,5165,21,18-25
