UserID,Name,Gender,DOB,Interests,City,Occupation,Budget (£),Age,Age Range
75722,Kevin Tabor,Male,1962-09-02,"'Nature', 'Parenting and family'",Liverpool,Project Manager,6376,63,56-65
80185,Bethany Buckley,Male,1983-07-28,'Business and entrepreneurship',Stockport,Data Analyst,4205,42,36-45
19865,Marsha Ayala,Male,1958-12-18,"'Fashion', 'DIY and crafts', 'Outdoor activities'",Bolton,Cleaner,2725,67,66+
76700,Sheryl Hower,Male,1964-04-12,'Business and entrepreneurship',Stockport,Quality Assurance Analyst,4556,61,56-65
92992,Robin Garrett,Male,1975-11-26,'Travel',Liverpool,Barista,2322,50,46-55
76435,Theresa Dominguez,Male,1988-07-26,'DIY and crafts',Liverpool,Construction Worker,2815,37,36-45
84005,James Gass,Female,1967-10-14,"'Music', 'Photography', 'DIY and crafts', 'Art', 'Travel'",Stockport,Construction Worker,2755,58,56-65
80918,Lawrence Lewison,Female,1960-02-07,'Fashion',Bolton,Barista,2447,65,66+
60768,Wm Neira,Male,1970-03-12,"'Gardening', 'Food and dining', 'Art', 'Fashion', 'Sports'",Stockport,Compliance Officer,7523,55,56-65
50075,Carolyn Briggs,Male,1980-03-27,"'Finance and investments', 'Books'",Liverpool,Electrician,4542,45,46-55
27702,Francis Manthe,Male,1972-04-15,"'DIY and crafts', 'History', 'Food and dining', 'Gaming'",Bolton,Construction Worker,2896,53,46-55
42142,Kenya Pollard,Female,1976-12-22,"'Technology', 'Beauty', 'Social causes and activism', 'Finance and investments'",Stockport,Cleaner,2209,49,46-55
45081,Courtney Mercier,Female,1957-07-15,"'Books', 'Science', 'Gardening', 'DIY and crafts', 'Travel'",Manchester,Chef,4358,68,66+
16639,Veronica Bond,Female,1992-07-22,"'Pets', 'Music'",Bolton,Office Administrator,3348,33,26-35
20425,Charles Stahlberg,Female,1970-01-05,"'Education and learning', 'Travel', 'Gaming', 'Health and wellness'",Liverpool,HR Manager,6499,55,56-65
88703,Bobby Nielson,Female,1972-02-02,"'Health and wellness', 'Politics'",Stockport,Public Relations Specialist,4404,53,46-55
150,Lee Patterson,Male,1987-01-08,'DIY and crafts',Stockport,Barista,2457,38,36-45
1762,Annie Loudy,Female,1979-12-02,"'Nature', 'Health and wellness', 'Sports'",Manchester,Public Relations Specialist,5501,46,46-55
63121,Alton Billingsley,Male,2001-08-30,"'Travel', 'Gaming', 'Politics'",Bolton,Construction Worker,2425,24,18-25
69162,Jeannette Jensen,Male,1987-05-04,'Food and dining',Liverpool,Technical Writer,6079,38,36-45
64884,Ruben Artis,Female,1970-10-28,'Technology',Bolton,Electrician,3039,55,56-65
2496,Michael Espinal,Female,1964-03-29,"'DIY and crafts', 'Beauty', 'Sports', 'Science', 'Technology'",Stockport,Mechanic,3943,61,56-65
80297,Mary Coty,Female,1958-01-17,"'Sports', 'Finance and investments', 'Politics'",Manchester,Project Manager,8402,67,66+
19448,Rita Bays,Female,1954-04-24,"'Politics', 'Education and learning', 'Finance and investments'",Manchester,Chef,4161,71,66+
41332,Ryan Wood,Male,1956-06-30,'Nature',Stockport,Procurement Specialist,4849,69,66+
14889,Aaron Beasley,Male,2003-03-10,"'Politics', 'Sports', 'Business and entrepreneurship'",Bolton,HR Manager,6725,22,18-25
88637,Kristine Jarrard,Male,1969-11-04,'Parenting and family',Manchester,Technical Writer,4557,56,56-65
94893,Jean Lollar,Male,1961-11-15,"'Nature', 'Finance and investments', 'Movies', 'Books', 'Fashion'",Preston,Market Research Analyst,6222,64,56-65
92732,Gregory Offield,Male,1954-07-28,"'Fashion', 'Health and wellness', 'Science'",Liverpool,Waiter,2712,71,66+
29131,David Davis,Male,1998-02-12,"'Education and learning', 'Business and entrepreneurship'",Stockport,Market Research Analyst,4418,27,26-35
79023,Linda Choate,Male,1961-02-27,"'History', 'Movies', 'Beauty', 'Movies'",Preston,Data Analyst,5553,64,56-65
84937,Theresa Pope,Female,1959-02-12,'Fashion',Stockport,Sales Executive,3632,66,66+
16822,Kyle Hinojosa,Male,1995-09-02,"'Gaming', 'Parenting and family', 'Fashion', 'Health and wellness', 'Gardening'",Liverpool,Technical Writer,3682,30,26-35
