,UserID,Name,Gender,DOB,Interests,City,Occupation,Budget (£),Age,Age Range,Cluster,Cluster_tag
0,75722,Kevin Tabor,Male,1962-09-02,"['Nature', 'Parenting and family']",Liverpool,Project Manager,6376,63,56-65,3,Nature & Travel
1,80185,Bethany Buckley,Male,1983-07-28,['Business and entrepreneurship'],Stockport,Data Analyst,4205,42,36-45,0,Business and entrepreneurship & Technology
2,19865,Marsha Ayala,Male,1958-12-18,"['Fashion', 'DIY and crafts', 'Outdoor activities']",Bolton,Cleaner,2725,67,66+,2,Fashion & Gaming
3,76700,Sheryl Hower,Male,1964-04-12,['Business and entrepreneurship'],Stockport,Quality Assurance Analyst,4556,61,56-65,0,Business and entrepreneurship & Technology
4,92992,Robin Garrett,Male,1975-11-26,['Travel'],Liverpool,Barista,2322,50,46-55,3,Nature & Travel
5,76435,Theresa Dominguez,Male,1988-07-26,['DIY and crafts'],Liverpool,Construction Worker,2815,37,36-45,4,Cars and automobiles & Parenting and family
6,84005,James Gass,Female,1967-10-14,"['Music', 'Photography', 'DIY and crafts', 'Art', 'Travel']",Stockport,Construction Worker,2755,58,56-65,3,Nature & Travel
7,80918,Lawrence Lewison,Female,1960-02-07,['Fashion'],Bolton,Barista,2447,65,66+,2,Fashion & Gaming
8,60768,Wm Neira,Male,1970-03-12,"['Gardening', 'Food and dining', 'Art', 'Fashion', 'Sports']",Stockport,Compliance Officer,7523,55,56-65,2,Fashion & Gaming
9,50075,Carolyn Briggs,Male,1980-03-27,"['Finance and investments', 'Books']",Liverpool,Electrician,4542,45,46-55,1,Finance and investments & History
10,27702,Francis Manthe,Male,1972-04-15,"['DIY and crafts', 'History', 'Food and dining', 'Gaming']",Bolton,Construction Worker,2896,53,46-55,1,Finance and investments & History
11,42142,Kenya Pollard,Female,1976-12-22,"['Technology', 'Beauty', 'Social causes and activism', 'Finance and investments']",Stockport,Cleaner,2209,49,46-55,0,Business and entrepreneurship & Technology
12,45081,Courtney Mercier,Female,1957-07-15,"['Books', 'Science', 'Gardening', 'DIY and crafts', 'Travel']",Manchester,Chef,4358,68,66+,3,Nature & Travel
13,16639,Veronica Bond,Female,1992-07-22,"['Pets', 'Music']",Bolton,Office Administrator,3348,33,26-35,0,Business and entrepreneurship & Technology
14,20425,Charles Stahlberg,Female,1970-01-05,"['Education and learning', 'Travel', 'Gaming', 'Health and wellness']",Liverpool,HR Manager,6499,55,56-65,6,Health and wellness & Education and learning
15,88703,Bobby Nielson,Female,1972-02-02,"['Health and wellness', 'Politics']",Stockport,Public Relations Specialist,4404,53,46-55,6,Health and wellness & Education and learning
16,150,Lee Patterson,Male,1987-01-08,['DIY and crafts'],Stockport,Barista,2457,38,36-45,4,Cars and automobiles & Parenting and family
17,1762,Annie Loudy,Female,1979-12-02,"['Nature', 'Health and wellness', 'Sports']",Manchester,Public Relations Specialist,5501,46,46-55,6,Health and wellness & Education and learning
18,63121,Alton Billingsley,Male,2001-08-30,"['Travel', 'Gaming', 'Politics']",Bolton,Construction Worker,2425,24,18-25,3,Nature & Travel
19,69162,Jeannette Jensen,Male,1987-05-04,['Food and dining'],Liverpool,Technical Writer,6079,38,36-45,1,Finance and investments & History
20,64884,Ruben Artis,Female,1970-10-28,['Technology'],Bolton,Electrician,3039,55,56-65,0,Business and entrepreneurship & Technology
21,2496,Michael Espinal,Female,1964-03-29,"['DIY and crafts', 'Beauty', 'Sports', 'Science', 'Technology']",Stockport,Mechanic,3943,61,56-65,0,Business and entrepreneurship & Technology
22,80297,Mary Coty,Female,1958-01-17,"['Sports', 'Finance and investments', 'Politics']",Manchester,Project Manager,8402,67,66+,0,Business and entrepreneurship & Technology
23,19448,Rita Bays,Female,1954-04-24,"['Politics', 'Education and learning', 'Finance and investments']",Manchester,Chef,4161,71,66+,5,Art & Education and learning
24,41332,Ryan Wood,Male,1956-06-30,['Nature'],Stockport,Procurement Specialist,4849,69,66+,3,Nature & Travel
