UserID,Name,Gender,DOB,Interests,City,Occupation,Budget,Age,Age Range,Cluster,Cluster_tag,SubCluster,SubCluster_Description
75722,Kevin Tabor,Male,1962/9/2,"'Nature', 'Parenting and family'",Liverpool,Project Manager,6376,63,56-65,6,Nature & Music,6.3,"Avg Age: 42.3, Avg Budget: 6376.3"
80185,Bethany Buckley,Male,1983/7/28,'Business and entrepreneurship',Stockport,Data Analyst,4205,42,36-45,2,Business and entrepreneurship & Cooking,2.2,"Avg Age: 32.7, Avg Budget: 3932.0"
19865,Marsha Ayala,Male,1958/12/18,"'Fashion', 'DIY and crafts', 'Outdoor activities'",Bolton,Cleaner,2725,67,66+,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
76700,Sheryl Hower,Male,1964/4/12,'Business and entrepreneurship',Stockport,Quality Assurance Analyst,4556,61,56-65,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
92992,Robin Garrett,Male,1975/11/26,'Travel',Liverpool,Barista,2322,50,46-55,7,Travel & Movies,7.1,"Avg Age: 58.8, Avg Budget: 3605.3"
76435,Theresa Dominguez,Male,1988/7/26,'DIY and crafts',Liverpool,Construction Worker,2815,37,36-45,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
84005,James Gass,Female,1967/10/14,"'Music', 'Photography', 'DIY and crafts', 'Art', 'Travel'",Stockport,Construction Worker,2755,58,56-65,4,Art & Sports,4.3,"Avg Age: 56.9, Avg Budget: 3703.1"
80918,Lawrence Lewison,Female,1960/2/7,'Fashion',Bolton,Barista,2447,65,66+,1,Fashion & Cooking,1.5,"Avg Age: 58.0, Avg Budget: 3560.1"
60768,Wm Neira,Male,1970/3/12,"'Gardening', 'Food and dining', 'Art', 'Fashion', 'Sports'",Stockport,Compliance Officer,7523,55,56-65,1,Fashion & Cooking,1.2,"Avg Age: 59.2, Avg Budget: 5916.1"
50075,Carolyn Briggs,Male,1980/3/27,"'Finance and investments', 'Books'",Liverpool,Electrician,4542,45,46-55,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
27702,Francis Manthe,Male,1972/4/15,"'DIY and crafts', 'History', 'Food and dining', 'Gaming'",Bolton,Construction Worker,2896,53,46-55,5,History & Gardening,5.2,"Avg Age: 57.6, Avg Budget: 3697.9"
42142,Kenya Pollard,Female,1976/12/22,"'Technology', 'Beauty', 'Social causes and activism', 'Finance and investments'",Stockport,Cleaner,2209,49,46-55,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
45081,Courtney Mercier,Female,1957/7/15,"'Books', 'Science', 'Gardening', 'DIY and crafts', 'Travel'",Manchester,Chef,4358,68,66+,7,Travel & Movies,7.1,"Avg Age: 58.8, Avg Budget: 3605.3"
16639,Veronica Bond,Female,1992/7/22,"'Pets', 'Music'",Bolton,Office Administrator,3348,33,26-35,3,Pets & Food and dining,3.2,"Avg Age: 31.9, Avg Budget: 4085.9"
20425,Charles Stahlberg,Female,1970/1/5,"'Education and learning', 'Travel', 'Gaming', 'Health and wellness'",Liverpool,HR Manager,6499,55,56-65,7,Travel & Movies,7.4,"Avg Age: 60.2, Avg Budget: 6508.0"
88703,Bobby Nielson,Female,1972/2/2,"'Health and wellness', 'Politics'",Stockport,Public Relations Specialist,4404,53,46-55,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
150,Lee Patterson,Male,1987/1/8,'DIY and crafts',Stockport,Barista,2457,38,36-45,0,Sports & Parenting and family,0.3,"Avg Age: 32.9, Avg Budget: 4042.3"
1762,Annie Loudy,Female,1979/12/2,"'Nature', 'Health and wellness', 'Sports'",Manchester,Public Relations Specialist,5501,46,46-55,6,Nature & Music,6.3,"Avg Age: 42.3, Avg Budget: 6376.3"
63121,Alton Billingsley,Male,2001/8/30,"'Travel', 'Gaming', 'Politics'",Bolton,Construction Worker,2425,24,18-25,7,Travel & Movies,7.3,"Avg Age: 33.3, Avg Budget: 3372.9"
69162,Jeannette Jensen,Male,1987/5/4,'Food and dining',Liverpool,Technical Writer,6079,38,36-45,3,Pets & Food and dining,3.1,"Avg Age: 47.4, Avg Budget: 6718.3"
64884,Ruben Artis,Female,1970/10/28,'Technology',Bolton,Electrician,3039,55,56-65,2,Business and entrepreneurship & Cooking,2.3,"Avg Age: 59.6, Avg Budget: 4175.7"
2496,Michael Espinal,Female,1964/3/29,"'DIY and crafts', 'Beauty', 'Sports', 'Science', 'Technology'",Stockport,Mechanic,3943,61,56-65,0,Sports & Parenting and family,0.1,"Avg Age: 60.0, Avg Budget: 4020.0"
80297,Mary Coty,Female,1958/1/17,"'Sports', 'Finance and investments', 'Politics'",Manchester,Project Manager,8402,67,66+,0,Sports & Parenting and family,0.2,"Avg Age: 45.9, Avg Budget: 6780.6"
